[2020.05.12 21:27] Канал:cryo_0 Ник:dirhass	Сообщение:вообще я как полазил по модам ускоглазые делают норм моды ток их не все переводят даже на инглиш
[2020.05.12 21:27] Канал:cryo_0 Ник:dirhass	Сообщение:там 3 или 4 спригана
[2020.05.12 21:28] Канал:cryo_0 Ник:dirhass	Сообщение:ниже сприганы
[2020.05.12 21:28] Канал:cryo_0 Ник:dirhass	Сообщение:сосо маг вроде
[2020.05.12 21:29] Канал:cryo_0 Ник:dirhass	Сообщение:кст обмазка и дестракта на сосо чуть читерная
[2020.05.12 21:30] Канал:cryo_0 Ник:dirhass	Сообщение:отхил с 1 удара 250
[2020.05.12 21:30] Канал:cryo_0 Ник:dirhass	Сообщение:вомперы
[2020.05.12 21:30] Канал:cryo_0 Ник:dirhass	Сообщение:не лезь туда пока
[2020.05.12 21:30] Канал:cryo_0 Ник:dirhass	Сообщение:там может эбонях раресатся
[2020.05.12 21:30] Канал:cryo_0 Ник:streamelements	Сообщение:Спасибо за участие, bogvin!
[2020.05.12 21:30] Канал:cryo_0 Ник:bogvin	Сообщение:Хола
[2020.05.12 21:31] Канал:cryo_0 Ник:dirhass	Сообщение:влево иди
[2020.05.12 21:31] Канал:cryo_0 Ник:dirhass	Сообщение:а вообще там обход далеко
[2020.05.12 21:31] Канал:cryo_0 Ник:dirhass	Сообщение:так что по горам добрыгаешь
[2020.05.12 21:32] Канал:cryo_0 Ник:dirhass	Сообщение:вот тут много золотых мешков
[2020.05.12 21:32] Канал:cryo_0 Ник:dirhass	Сообщение:тут надо подкрутить стражу
[2020.05.12 21:32] Канал:cryo_0 Ник:dirhass	Сообщение:а то слабые
[2020.05.12 21:33] Канал:cryo_0 Ник:dirhass	Сообщение:и ниже там тоже лагерь норм так опыту но все слабые
[2020.05.12 21:33] Канал:cryo_0 Ник:dirhass	Сообщение:хотя даже именной есть
[2020.05.12 21:33] Канал:cryo_0 Ник:dirhass	Сообщение:зади
[2020.05.12 21:34] Канал:cryo_0 Ник:dirhass	Сообщение:и не мост
[2020.05.12 21:34] Канал:cryo_0 Ник:dirhass	Сообщение:а пещера
[2020.05.12 21:34] Канал:cryo_0 Ник:dirhass	Сообщение:это по кв клавикуса
[2020.05.12 21:34] Канал:cryo_0 Ник:dirhass	Сообщение:тебе другая пещера нужна
[2020.05.12 21:34] Канал:cryo_0 Ник:bogvin	Сообщение:Что из графики стоит?
[2020.05.12 21:35] Канал:cryo_0 Ник:bogvin	Сообщение:Слмп полностью или только текстуры?
[2020.05.12 21:37] Канал:cryo_0 Ник:dirhass	Сообщение:не норм всё будет
[2020.05.12 21:37] Канал:cryo_0 Ник:dirhass	Сообщение:там ещё маг рестница
[2020.05.12 21:38] Канал:cryo_0 Ник:dirhass	Сообщение:ток там може дремора зареспится вот она злая ска
[2020.05.12 21:38] Канал:cryo_0 Ник:bogvin	Сообщение:У кого то в дискорде получалось текстуры слмпшные через мо в рфад влепить
[2020.05.12 21:38] Канал:cryo_0 Ник:dirhass	Сообщение:я ток через мо играю
[2020.05.12 21:39] Канал:cryo_0 Ник:dirhass	Сообщение:бодвин
[2020.05.12 21:39] Канал:cryo_0 Ник:dirhass	Сообщение:щас
[2020.05.12 21:39] Канал:cryo_0 Ник:dirhass	Сообщение:https
[2020.05.12 21:39] Канал:cryo_0 Ник:bogvin	Сообщение:Я это делал
[2020.05.12 21:39] Канал:cryo_0 Ник:dirhass	Сообщение:это гайд по установки
[2020.05.12 21:39] Канал:cryo_0 Ник:bogvin	Сообщение:Там говна куча
[2020.05.12 21:39] Канал:cryo_0 Ник:dirhass	Сообщение:ну всё работает я тестил
[2020.05.12 21:39] Канал:cryo_0 Ник:bogvin	Сообщение:А кто то только текстуры устанавливал
[2020.05.12 21:39] Канал:cryo_0 Ник:bogvin	Сообщение:Геймтекст и меши
[2020.05.12 21:40] Канал:cryo_0 Ник:bogvin	Сообщение:Без модов слмпшных
[2020.05.12 21:41] Канал:cryo_0 Ник:dirhass	Сообщение:можно просто поставить по гайду рфад и накотить твои текстуры
[2020.05.12 21:42] Канал:cryo_0 Ник:dirhass	Сообщение:так просто поставь чистый рфад и натыкай какие хош текста
[2020.05.12 21:42] Канал:cryo_0 Ник:dirhass	Сообщение:всё просто если через мо работать
[2020.05.12 21:44] Канал:cryo_0 Ник:dirhass	Сообщение:я вот вообще хотел астрал и рфад попробовать объединить
[2020.05.12 21:44] Канал:cryo_0 Ник:dirhass	Сообщение:потом забил гемору много слишком
[2020.05.12 21:44] Канал:cryo_0 Ник:dirhass	Сообщение:Сборка астрал такая на текстуры и дт
[2020.05.12 21:45] Канал:cryo_0 Ник:dirhass	Сообщение:это всё харвест )
[2020.05.12 21:45] Канал:cryo_0 Ник:dirhass	Сообщение:- лицо LUL
[2020.05.12 21:46] Канал:cryo_0 Ник:dirhass	Сообщение:LUL LUL LUL
[2020.05.12 21:46] Канал:cryo_0 Ник:dirhass	Сообщение:шмерть
[2020.05.12 21:46] Канал:cryo_0 Ник:dirhass	Сообщение:счётчик ставь
[2020.05.12 21:47] Канал:cryo_0 Ник:dirhass	Сообщение:пля у меня глаза устали и я снёс эти качели
[2020.05.12 21:47] Канал:cryo_0 Ник:dirhass	Сообщение:ага он
[2020.05.12 21:48] Канал:cryo_0 Ник:dirhass	Сообщение:хотя щас у меня чистый рфад стоит пока ещё не чё не накотил
[2020.05.12 21:48] Канал:cryo_0 Ник:dirhass	Сообщение:девственный так сказать я ещё даже не заходил в него LUL
[2020.05.12 21:49] Канал:cryo_0 Ник:dirhass	Сообщение:щас бы попадать
[2020.05.12 21:49] Канал:cryo_0 Ник:dirhass	Сообщение:LUL
[2020.05.12 21:51] Канал:cryo_0 Ник:dirhass	Сообщение:пля надо в папке моды для скайрима надо порядок навести а то у меня всё в одной куче
[2020.05.12 21:51] Канал:cryo_0 Ник:dirhass	Сообщение:запоролся мод искать
[2020.05.12 21:51] Канал:cryo_0 Ник:gospirithappyok	Сообщение:Привет а скорлько памяти надо данной сборке 4 хватит ?
[2020.05.12 21:52] Канал:cryo_0 Ник:dirhass	Сообщение:она даже под модами не жрёт больше 1 гига
[2020.05.12 21:52] Канал:cryo_0 Ник:gospirithappyok	Сообщение:оперативки
[2020.05.12 21:52] Канал:cryo_0 Ник:dirhass	Сообщение:ну это лсмп
[2020.05.12 21:52] Канал:cryo_0 Ник:dirhass	Сообщение:а чистый жрёт не больше гига
[2020.05.12 21:56] Канал:cryo_0 Ник:dirhass	Сообщение:он бегает много
[2020.05.12 21:56] Канал:cryo_0 Ник:dirhass	Сообщение:самый профит 2 лучника и тролль
[2020.05.12 21:56] Канал:cryo_0 Ник:dirhass	Сообщение:а потом 2 мага и тролль
[2020.05.12 21:56] Канал:cryo_0 Ник:dirhass	Сообщение:каирн 2
[2020.05.12 21:56] Канал:cryo_0 Ник:dirhass	Сообщение:другие говно
[2020.05.12 21:57] Канал:cryo_0 Ник:dirhass	Сообщение:потом гвардеец и порченная тень дреморы
[2020.05.12 21:58] Канал:cryo_0 Ник:dirhass	Сообщение:лучники даже нежить норм крошат и мишка нет
[2020.05.12 21:58] Канал:cryo_0 Ник:dirhass	Сообщение:тролль танчит 90% контента
[2020.05.12 21:58] Канал:cryo_0 Ник:dirhass	Сообщение:а вот ещё - мишки
[2020.05.12 21:58] Канал:cryo_0 Ник:dirhass	Сообщение:застревание
[2020.05.12 22:02] Канал:cryo_0 Ник:ahtuxoma__tvash	Сообщение:давай экшон
[2020.05.12 22:02] Канал:cryo_0 Ник:dirhass	Сообщение:как же меня бесит родной антивир винды
[2020.05.12 22:02] Канал:cryo_0 Ник:dirhass	Сообщение:обновляется 5 раз в день
[2020.05.12 22:03] Канал:cryo_0 Ник:dirhass	Сообщение:ну это сложно антивиром назвать
[2020.05.12 22:03] Канал:cryo_0 Ник:dirhass	Сообщение:ну типо есть
[2020.05.12 22:03] Канал:cryo_0 Ник:dirhass	Сообщение:я не ставил антивиры уже лет 5
[2020.05.12 22:03] Канал:cryo_0 Ник:dirhass	Сообщение:я и так умею вирусы ловить
[2020.05.12 22:04] Канал:cryo_0 Ник:dirhass	Сообщение:чернобыль научил в своё время меня вручную их ловить
[2020.05.12 22:04] Канал:cryo_0 Ник:dirhass	Сообщение:был раньше такой страшный вирус чернобыль
[2020.05.12 22:06] Канал:cryo_0 Ник:dirhass	Сообщение:он по цепи ломал одно за другим а потом краш системы полный
[2020.05.12 22:06] Канал:cryo_0 Ник:xartasovplay	Сообщение:Kappa Squid4
[2020.05.12 22:06] Канал:cryo_0 Ник:dirhass	Сообщение:и помогал ток формат с формат d
[2020.05.12 22:06] Канал:cryo_0 Ник:dirhass	Сообщение:@xartasovplay SMOrc Squid4
[2020.05.12 22:07] Канал:cryo_0 Ник:xartasovplay	Сообщение:@DirHass VoHiYo
[2020.05.12 22:07] Канал:cryo_0 Ник:dirhass	Сообщение:котик ты поломал скурим уже?
[2020.05.12 22:07] Канал:cryo_0 Ник:ambienthabitat	Сообщение:@xartasovplay где стримы? где маг? cmonBruh
[2020.05.12 22:07] Канал:cryo_0 Ник:dirhass	Сообщение:или ещё дезмонда подключать будешь ?
[2020.05.12 22:08] Канал:cryo_0 Ник:dirhass	Сообщение:ну бывает по вечерам
[2020.05.12 22:08] Канал:cryo_0 Ник:xartasovplay	Сообщение:@AmbientHabitat мага не будет, расходимся SMOrc
[2020.05.12 22:08] Канал:cryo_0 Ник:ambienthabitat	Сообщение:NotLikeThis
[2020.05.12 22:08] Канал:cryo_0 Ник:dirhass	Сообщение:щас кроме тебя не кого
[2020.05.12 22:08] Канал:cryo_0 Ник:dirhass	Сообщение:будет крикун
[2020.05.12 22:08] Канал:cryo_0 Ник:ambienthabitat	Сообщение:@xartasovplay атписка SMOrc
[2020.05.12 22:08] Канал:cryo_0 Ник:dirhass	Сообщение:в тяже ледомаг сникер LUL
[2020.05.12 22:09] Канал:cryo_0 Ник:xartasovplay	Сообщение:@AmbientHabitat BibleThump GivePLZ
[2020.05.12 22:10] Канал:cryo_0 Ник:dirhass	Сообщение:айку и них как у хлебушка
[2020.05.12 22:10] Канал:cryo_0 Ник:dirhass	Сообщение:опять траблы
[2020.05.12 22:10] Канал:cryo_0 Ник:dirhass	Сообщение:они же маги
[2020.05.12 22:11] Канал:cryo_0 Ник:dirhass	Сообщение:а тролль очень боится огня
[2020.05.12 22:11] Канал:cryo_0 Ник:dirhass	Сообщение:потому что ОГОНЬ ПЛОХОЙ LUL
[2020.05.12 22:12] Канал:cryo_0 Ник:dirhass	Сообщение:вот потому я и говорил что 2 лука это норм
[2020.05.12 22:12] Канал:cryo_0 Ник:dirhass	Сообщение:они бы даже не добежали
[2020.05.12 22:13] Канал:cryo_0 Ник:dirhass	Сообщение:ты за углом стоишь нафиг тебе бафы
[2020.05.12 22:13] Канал:cryo_0 Ник:dirhass	Сообщение:тебе урон нужен щас
[2020.05.12 22:14] Канал:cryo_0 Ник:dirhass	Сообщение:если ты тычки получаешь за сумонера то ты точно чтот делаешь не так
[2020.05.12 22:15] Канал:cryo_0 Ник:dirhass	Сообщение:гдет тут была ловушка...... (F9) тебя 200 хп не спасут от торана или топора
[2020.05.12 22:18] Канал:cryo_0 Ник:dirhass	Сообщение:ктот пригорел LUL
[2020.05.12 22:19] Канал:cryo_0 Ник:dirhass	Сообщение:там очерёдность важна
[2020.05.12 22:19] Канал:cryo_0 Ник:dirhass	Сообщение:чтоб было просто 3 слота
